"Timestamp","Goods or service","Did you make the purchase?","Price:","How much money do you have in total?","Category","If Other, please specify:","Need or Want?","If want, how much do you WANT the item? (1 being the least, 3 being the most)","Gender","Age","Monthly Income ","Monthly Budget for your NEEDS","Monthly Budget for your WANTS","Status","Comments:"
"2019/03/23 5:01:51 pm CET","Service","No","140","200","Health & Beauty","","Want","2","Male","26","1000","50","50","Single",""
"2019/03/23 5:04:39 pm CET","Goods","Yes","90","150","Clothing","","Want","3","Male","35","1500","70","30","Single",""
"2019/03/23 5:05:24 pm CET","Service","Yes","50","200","Health & Beauty","","Want","2","Female","50","2000","70","30","Married Parent",""
"2019/03/23 5:07:34 pm CET","Service","No","400","500","Home (decors, household equipments, home repairs etc)","","Need","NEED","Female","35","2000","70","30","Married (no children)",""
"2019/03/23 9:09:15 pm CET","Goods","Yes","13.98","50","Food & Drink","","Need","NEED","Female","23","500","70","30","Single",""
"2019/03/23 9:10:02 pm CET","Service","Yes","58.90","100","Personal Development","","Need","NEED","Female","25","600","50","50","Single",""
"2019/03/23 9:12:09 pm CET","Goods","No","23.99","50","Health & Beauty","","Want","1","Female","33","1500","50","50","Single",""
"2019/03/23 9:35:01 pm CET","Goods","Yes","56","379","Books & Education","","Want","3","Female","23","1800","60","10","Single",""
"2019/03/23 9:38:24 pm CET","Service","No","34","50","Health & Beauty","","Want","3","Female","18","300","80","20","Single",""
"2019/03/23 9:42:18 pm CET","Service","Yes","53 ","120","Food & Drink","","Need","3","Male","22","2100","70","10","Single",""
"2019/03/23 9:45:33 pm CET","Goods","Yes","25","80","Technology","","Want","3","Female","24","1999","70","25","Single",""
"2019/03/23 9:47:51 pm CET","Goods","Yes","30","130","Books & Education","","Need","NEED","Female","19","500","50","20","Single",""
"2019/03/23 9:51:36 pm CET","Goods","Yes","16","40","Food & Drink","","Need","NEED","Male","29","2600","80","10","Married Parent",""
"2019/03/23 9:55:05 pm CET","Service","No","100","150","Home (decors, household equipments, home repairs etc)","","Want","2","Male","25","1900","80","10","Married Parent",""
"2019/03/23 10:00:21 pm CET","Goods","Yes","30","64","Technology","","Need","3","Female","56","3200","80","10","Married Parent",""
